onset	duration	value	trial_type
22.9786	18	1	WordCongruent
53.9853	18	1	WordIncongruent
84.992	18	1	WordIncongruent
117.0227	18	1	WordIncongruent
150.0365	18	1	WordIncongruent
182.0672	18	1	WordCongruent
213.0739	18	1	WordCongruent
241.0906	18	1	WordIncongruent
271.1142	18	1	WordCongruent
304.128	18	1	WordIncongruent
335.1757	18	1	WordCongruent
363.1923	18	1	WordCongruent
396.2061	18	1	WordIncongruent
429.2198	18	1	WordCongruent
460.2266	18	1	WordCongruent
488.2432	18	1	WordCongruent
520.2739	18	1	WordIncongruent
552.2637	18	1	WordIncongruent
