onset	duration	value	trial_type
22.8966	18	1	WordIncongruent
54.9274	18	1	WordIncongruent
85.9341	18	1	WordCongruent
116.9408	18	1	WordIncongruent
146.9645	18	1	WordIncongruent
178.9952	18	1	WordIncongruent
212.009	18	1	WordCongruent
240.0256	18	1	WordCongruent
271.0323	18	1	WordCongruent
304.0461	18	1	WordCongruent
336.0768	18	1	WordCongruent
367.0835	18	1	WordIncongruent
400.0973	18	1	WordCongruent
433.111	18	1	WordIncongruent
464.1587	18	1	WordIncongruent
496.1485	18	1	WordIncongruent
528.1792	18	1	WordCongruent
556.1958	18	1	WordCongruent
