onset	duration	value	trial_type
23.6339	18	1	WordIncongruent
54.6816	18	1	WordCongruent
85.6883	18	1	WordIncongruent
117.719	18	1	WordCongruent
145.7357	18	1	WordCongruent
176.7834	18	1	WordIncongruent
208.7731	18	1	WordIncongruent
241.7869	18	1	WordCongruent
274.8006	18	1	WordIncongruent
304.8653	18	1	WordCongruent
337.879	18	1	WordCongruent
368.9267	18	1	WordCongruent
396.9434	18	1	WordIncongruent
429.9571	18	1	WordIncongruent
461.9878	18	1	WordIncongruent
492.9946	18	1	WordIncongruent
525.0253	18	1	WordCongruent
553.0419	18	1	WordCongruent
