onset	duration	value	trial_type
22.9376	18	1	WordIncongruent
52.9613	18	1	WordCongruent
83.968	18	1	WordCongruent
116.9818	18	1	WordIncongruent
149.0125	18	1	WordIncongruent
181.0022	18	1	WordIncongruent
214.016	18	1	WordCongruent
245.0637	18	1	WordIncongruent
276.0704	18	1	WordCongruent
304.087	18	1	WordIncongruent
336.1178	18	1	WordIncongruent
369.1315	18	1	WordCongruent
401.1622	18	1	WordCongruent
429.1789	18	1	WordIncongruent
460.1856	18	1	WordCongruent
493.1994	18	1	WordCongruent
521.216	18	1	WordIncongruent
553.2467	18	1	WordCongruent
