onset	duration	value	trial_type
22.9376	18	1	WordCongruent
53.9443	18	1	WordCongruent
84.951	18	1	WordIncongruent
116.9818	18	1	WordIncongruent
147.9885	18	1	WordIncongruent
178.0122	18	1	WordIncongruent
210.0429	18	1	WordIncongruent
243.0566	18	1	WordCongruent
276.0704	18	1	WordCongruent
304.087	18	1	WordIncongruent
335.1347	18	1	WordCongruent
367.1245	18	1	WordCongruent
398.1312	18	1	WordCongruent
431.1859	18	1	WordIncongruent
463.1757	18	1	WordIncongruent
496.1894	18	1	WordCongruent
524.2061	18	1	WordCongruent
552.2227	18	1	WordIncongruent
