onset	duration	value	trial_type
23.593	18	1	WordCongruent
54.5997	18	1	WordIncongruent
86.6304	18	1	WordIncongruent
118.6611	18	1	WordCongruent
146.6778	18	1	WordIncongruent
179.6915	18	1	WordCongruent
210.6982	18	1	WordIncongruent
241.7459	18	1	WordIncongruent
271.7286	18	1	WordCongruent
304.7834	18	1	WordIncongruent
337.7971	18	1	WordIncongruent
369.7869	18	1	WordCongruent
402.8416	18	1	WordIncongruent
434.8314	18	1	WordCongruent
465.8381	18	1	WordCongruent
497.8688	18	1	WordIncongruent
528.9165	18	1	WordCongruent
556.9331	18	1	WordCongruent
