onset	duration	value	trial_type
22.9786	18	1	WordIncongruent
54.0262	18	1	WordCongruent
85.033	18	1	WordCongruent
116.0397	18	1	WordIncongruent
146.0634	18	1	WordCongruent
179.0771	18	1	WordCongruent
207.0938	18	1	WordIncongruent
239.1245	18	1	WordIncongruent
272.1382	18	1	WordIncongruent
304.169	18	1	WordCongruent
337.1827	18	1	WordCongruent
365.1994	18	1	WordCongruent
396.2061	18	1	WordIncongruent
428.2368	18	1	WordCongruent
460.2675	18	1	WordIncongruent
493.2813	18	1	WordCongruent
521.2979	18	1	WordIncongruent
552.3046	18	1	WordIncongruent
