onset	duration	value	trial_type
23.511	18	1	WordIncongruent
55.5418	18	1	WordIncongruent
85.5654	18	1	WordIncongruent
116.5722	18	1	WordIncongruent
148.6029	18	1	WordCongruent
179.6096	18	1	WordCongruent
212.6234	18	1	WordIncongruent
245.6371	18	1	WordCongruent
273.6947	18	1	WordCongruent
304.7014	18	1	WordIncongruent
336.7322	18	1	WordCongruent
364.7488	18	1	WordCongruent
395.7965	18	1	WordCongruent
427.7862	18	1	WordCongruent
460.841	18	1	WordCongruent
488.8576	18	1	WordIncongruent
519.8643	18	1	WordIncongruent
551.895	18	1	WordIncongruent
