onset	duration	trial_type	value
23.59296	18	WordIncongruent	1.0
55.62368000000001	18	WordIncongruent	1.0
87.65440000000001	18	WordIncongruent	1.0
120.70912000000001	18	WordIncongruent	1.0
150.69184	18	WordIncongruent	1.0
181.73952000000003	18	WordCongruent	1.0
212.74624000000003	18	WordCongruent	1.0
240.80384	18	WordCongruent	1.0
271.81056	18	WordCongruent	1.0
304.86528000000004	18	WordCongruent	1.0
336.896	18	WordIncongruent	1.0
368.92672000000005	18	WordCongruent	1.0
396.94336000000004	18	WordIncongruent	1.0
427.99104000000005	18	WordIncongruent	1.0
461.00480000000005	18	WordCongruent	1.0
492.05248000000006	18	WordCongruent	1.0
520.06912	18	WordCongruent	1.0
553.08288	18	WordIncongruent	1.0
