onset	duration	value	trial_type
23.6749	18	1	WordIncongruent
56.6886	18	1	WordCongruent
87.7363	18	1	WordIncongruent
118.743	18	1	WordCongruent
149.7907	18	1	WordIncongruent
181.8214	18	1	WordCongruent
209.8381	18	1	WordCongruent
242.8518	18	1	WordIncongruent
274.8826	18	1	WordIncongruent
304.9472	18	1	WordCongruent
336.9779	18	1	WordIncongruent
368.9677	18	1	WordCongruent
400.0154	18	1	WordCongruent
433.0701	18	1	WordIncongruent
465.0598	18	1	WordIncongruent
496.0666	18	1	WordCongruent
524.0832	18	1	WordCongruent
552.0998	18	1	WordIncongruent
