onset	duration	value	trial_type
24.1254	18	1	WordIncongruent
56.1562	18	1	WordCongruent
84.1728	18	1	WordCongruent
117.1866	18	1	WordIncongruent
147.2102	18	1	WordCongruent
178.217	18	1	WordIncongruent
210.2477	18	1	WordIncongruent
241.2954	18	1	WordCongruent
272.3021	18	1	WordIncongruent
305.3568	18	1	WordCongruent
337.3466	18	1	WordCongruent
370.3603	18	1	WordIncongruent
402.391	18	1	WordIncongruent
435.4458	18	1	WordIncongruent
466.4525	18	1	WordIncongruent
498.4832	18	1	WordCongruent
529.4899	18	1	WordCongruent
557.5066	18	1	WordCongruent
