onset	duration	value	trial_type
24.0026	18	1	WordIncongruent
54.0262	18	1	WordCongruent
87.04	18	1	WordCongruent
118.0877	18	1	WordCongruent
149.1354	18	1	WordIncongruent
180.1421	18	1	WordIncongruent
212.1318	18	1	WordCongruent
240.1894	18	1	WordIncongruent
272.2202	18	1	WordIncongruent
305.2339	18	1	WordCongruent
337.2646	18	1	WordCongruent
370.3194	18	1	WordIncongruent
403.3331	18	1	WordCongruent
434.3808	18	1	WordIncongruent
465.3875	18	1	WordCongruent
493.4042	18	1	WordCongruent
521.4208	18	1	WordIncongruent
553.4515	18	1	WordIncongruent
