onset	duration	value	trial_type
24.617	18	1	WordCongruent
55.6237	18	1	WordIncongruent
85.6883	18	1	WordCongruent
113.705	18	1	WordIncongruent
145.7357	18	1	WordCongruent
178.7904	18	1	WordIncongruent
210.7802	18	1	WordIncongruent
241.8278	18	1	WordCongruent
272.8346	18	1	WordIncongruent
305.8893	18	1	WordCongruent
333.9059	18	1	WordIncongruent
366.9197	18	1	WordCongruent
399.9334	18	1	WordIncongruent
430.9402	18	1	WordCongruent
458.9568	18	1	WordIncongruent
490.9875	18	1	WordIncongruent
523.0182	18	1	WordCongruent
554.025	18	1	WordCongruent
